fecha,no_recibo
2010-01-01,1000
2010-01-01,1001
2010-01-01,1002
2010-01-01,1003
2010-01-01,1004
2010-01-01,1005
2010-01-01,1006
2010-01-01,1007
2010-01-01,1008
2010-01-01,1009
2010-01-01,1010
2010-01-01,1011
2010-01-01,1012
2010-01-02,1013
2010-01-02,1014
2010-01-02,1015
2010-01-02,1016
2010-01-02,1017
2010-01-02,1018
2010-01-02,1019
2010-01-02,1020
2010-01-02,1021
2010-01-02,1022
2010-01-02,1023
2010-01-03,1024
2010-01-03,1025
2010-01-03,1026
2010-01-03,1027
2010-01-03,1028
2010-01-03,1029
2010-01-04,1030
2010-01-04,1031
2010-01-04,1032
2010-01-04,1033
2010-01-04,1034
2010-01-04,1035
2010-01-04,1036
2010-01-04,1037
2010-01-04,1038
2010-01-04,1039
2010-01-05,1040
2010-01-05,1041
2010-01-05,1042
2010-01-05,1043
2010-01-05,1044
2010-01-05,1045
2010-01-05,1046
2010-01-05,1047
2010-01-05,1048
2010-01-05,1049
2010-01-05,1050
2010-01-05,1051
2010-01-05,1052
2010-01-05,1053
2010-01-05,1054
2010-01-05,1055
2010-01-05,1056
2010-01-06,1057
2010-01-06,1058
2010-01-06,1059
2010-01-06,1060
2010-01-06,1061
2010-01-06,1062
2010-01-06,1063
2010-01-07,1064
2010-01-07,1065
2010-01-07,1066
2010-01-07,1067
2010-01-07,1068
2010-01-07,1069
2010-01-08,1070
2010-01-08,1071
2010-01-08,1072
2010-01-08,1073
2010-01-08,1074
2010-01-08,1075
2010-01-08,1076
2010-01-09,1077
2010-01-09,1078
2010-01-09,1079
2010-01-09,1080
2010-01-09,1081
2010-01-09,1082
2010-01-09,1083
2010-01-09,1084
2010-01-09,1085
2010-01-09,1086
2010-01-09,1087
2010-01-09,1088
2010-01-09,1089
2010-01-10,1090
2010-01-10,1091
2010-01-10,1092
2010-01-10,1093
2010-01-10,1094
2010-01-11,1095
2010-01-11,1096
2010-01-11,1097
2010-01-11,1098
2010-01-11,1099
2010-01-11,1100
2010-01-11,1101
2010-01-11,1102
2010-01-11,1103
2010-01-11,1104
2010-01-11,1105
2010-01-11,1106
2010-01-11,1107
2010-01-11,1108
2010-01-11,1109
2010-01-11,1110
2010-01-11,1111
2010-01-11,1112
2010-01-11,1113
2010-01-12,1114
2010-01-12,1115
2010-01-12,1116
2010-01-12,1117
2010-01-12,1118
2010-01-12,1119
2010-01-12,1120
2010-01-12,1121
2010-01-12,1122
2010-01-12,1123
2010-01-12,1124
2010-01-12,1125
2010-01-12,1126
2010-01-13,1127
2010-01-13,1128
2010-01-13,1129
2010-01-13,1130
2010-01-13,1131
2010-01-14,1132
2010-01-14,1133
2010-01-14,1134
2010-01-14,1135
2010-01-14,1136
2010-01-14,1137
2010-01-14,1138
2010-01-14,1139
2010-01-14,1140
2010-01-15,1141
2010-01-15,1142
2010-01-15,1143
2010-01-15,1144
2010-01-16,1145
2010-01-16,1146
2010-01-16,1147
2010-01-16,1148
2010-01-16,1149
2010-01-16,1150
2010-01-16,1151
2010-01-16,1152
2010-01-16,1153
2010-01-16,1154
2010-01-16,1155
2010-01-16,1156
2010-01-16,1157
2010-01-16,1158
2010-01-17,1159
2010-01-17,1160
2010-01-17,1161
2010-01-17,1162
2010-01-17,1163
2010-01-17,1164
2010-01-17,1165
2010-01-17,1166
2010-01-17,1167
2010-01-17,1168
2010-01-17,1169
2010-01-17,1170
2010-01-17,1171
2010-01-17,1172
2010-01-17,1173
2010-01-18,1174
2010-01-18,1175
2010-01-18,1176
2010-01-18,1177
2010-01-18,1178
2010-01-18,1179
2010-01-18,1180
2010-01-18,1181
2010-01-18,1182
2010-01-18,1183
2010-01-19,1184
2010-01-19,1185
2010-01-19,1186
2010-01-19,1187
2010-01-19,1188
2010-01-19,1189
2010-01-19,1190
2010-01-19,1191
2010-01-19,1192
2010-01-19,1193
2010-01-19,1194
2010-01-19,1195
2010-01-19,1196
2010-01-19,1197
2010-01-19,1198
2010-01-19,1199
2010-01-19,1200
2010-01-19,1201
2010-01-19,1202
2010-01-19,1203
2010-01-20,1204
2010-01-20,1205
2010-01-20,1206
2010-01-20,1207
2010-01-20,1208
2010-01-20,1209
2010-01-20,1210
2010-01-20,1211
2010-01-20,1212
2010-01-20,1213
2010-01-20,1214
2010-01-20,1215
2010-01-20,1216
2010-01-21,1217
2010-01-21,1218
2010-01-21,1219
2010-01-21,1220
2010-01-21,1221
2010-01-21,1222
2010-01-21,1223
2010-01-21,1224
2010-01-21,1225
2010-01-21,1226
2010-01-21,1227
2010-01-21,1228
2010-01-21,1229
2010-01-21,1230
2010-01-22,1231
2010-01-22,1232
2010-01-22,1233
2010-01-22,1234
2010-01-22,1235
2010-01-22,1236
2010-01-22,1237
2010-01-22,1238
2010-01-22,1239
2010-01-22,1240
2010-01-23,1241
2010-01-23,1242
2010-01-23,1243
2010-01-23,1244
2010-01-23,1245
