no_recibo,producto_id,tienda_id,cantidad
0000000001,2144020391,3,4
0000000001,2212010501,1,6
0000000001,2703AZ,4,2
0000000002,2136011602,5,6
0000000002,26514F,1,4
0000000003,266574,1,6
0000000004,2701AE,3,1
0000000005,2125040101,1,5
0000000005,458205,2,1
0000000006,2915020011,5,9
0000000007,2127040501,1,6
0000000007,2915020095,2,3
0000000008,2916020015,4,3
0000000009,270329,5,10
0000000010,267045,3,6
0000000011,266247,1,1
0000000011,266346,4,9
0000000011,2703B4,3,9
0000000011,465262,4,9
0000000012,270347,4,1
0000000013,270230,3,4
0000000014,284126,2,7
0000000015,458496,1,7
0000000016,4585410002,4,8
0000000017,458296,3,8
0000000018,270313,3,7
0000000018,276FDN,5,8
0000000018,2915010012,3,3
0000000019,267496,1,7
0000000020,267333,2,10
0000000021,2662A4,1,5
0000000022,458531,4,3
0000000023,284302,2,2
0000000024,284550,2,3
0000000025,266246,4,3
0000000026,458205,2,1
0000000026,458341,4,3
0000000027,2115024801,2,3
0000000028,284506,5,10
0000000029,267456,4,3
0000000030,267233,5,3
0000000030,2945000108,3,1
0000000031,265226,1,9
0000000031,4135050201,5,1
0000000032,2842C9,5,6
0000000033,265A29,1,6
0000000034,2125024001,4,1
0000000034,276FDN,5,5
0000000035,270347,3,5
0000000036,267479,1,4
0000000036,270365,1,4
0000000037,4125050301,4,3
0000000037,458350,5,10
0000000038,2701B9,3,6
0000000039,26512C,1,2
0000000039,270330,1,4
0000000040,2662A3,4,2
0000000040,267392,4,4
0000000041,2117020201,3,3
0000000041,2415000110,2,9
0000000041,2702AN,5,8
0000000042,276F8N,2,6
0000000042,296001,3,7
0000000043,284246,3,5
0000000044,2125022401,1,10
0000000045,2114020501,1,1
0000000046,2116050101,4,10
0000000046,270108,1,9
0000000047,265226,2,4
0000000048,2703AW,4,3
0000000049,267126,4,3
0000000049,2701AY,2,7
0000000050,270303,5,4
0000000051,267291,3,4
0000000051,267425,4,9
0000000052,26552E,1,9
0000000053,2703AR,2,2
0000000054,265222,1,5
0000000054,267043,3,8
0000000055,284444,3,10
0000000056,2767IH,3,10
0000000057,270109,2,4
0000000058,265228,4,6
0000000059,267126,4,4
0000000060,2144020101,3,3
0000000061,270199,5,6
0000000062,26556N,5,9
0000000063,2843S1,3,7
0000000063,458297,3,2
0000000064,270121,5,4
0000000065,465262,4,6
0000000066,270306,5,8
0000000066,284445,3,8
0000000067,2914020013,1,4
0000000068,2144020401,3,3
0000000069,267042,2,7
0000000070,2147020401,3,9
0000000071,2144022301,4,4
0000000072,2127040501,1,10
0000000072,284305,2,5
0000000073,2701AF,2,8
0000000073,284215,2,5
0000000074,4126041201,2,5
0000000075,267596,3,2
0000000076,2845A2,2,10
0000000077,2702AW,4,3
0000000078,265527,2,2
0000000079,2126011101,4,6
0000000080,270340,3,6
0000000081,270126,2,3
0000000082,2702C6,3,1
0000000083,2116040101,4,4
0000000084,2126020191,5,1
0000000085,2115020791,4,2
0000000085,267496,2,5
0000000085,2843B4,1,3
0000000086,458346,1,4
0000000087,270356,3,4
0000000088,26554F,2,3
0000000088,270121,5,6
0000000089,2144020391,5,10
0000000089,267277,3,6
0000000090,2112030801,1,6
0000000091,2125024001,1,3
0000000091,2703AY,5,7
0000000092,26552E,3,2
0000000092,2843B4,1,7
0000000093,2914010013,4,9
0000000094,2665A4,3,6
0000000095,270162,2,7
0000000096,465281,5,4
0000000097,267534,5,3
0000000098,266517,3,5
0000000099,2115020401,2,2
0000000100,2126011101,3,9
0000000101,2131000001,4,3
0000000102,26534F,1,1
0000000103,2126030491,2,6
0000000104,2125020591,2,5
0000000104,26554F,2,1
0000000104,270291,2,6
0000000105,265223,2,5
0000000106,2212013801,3,3
0000000107,26556N,5,4
0000000108,26522D,4,9
0000000109,266247,5,7
0000000110,284145,4,3
0000000111,270111,4,1
0000000111,270317,5,10
0000000112,267591,3,3
0000000113,2911020003,4,9
0000000114,265428,2,1
0000000114,2665A7,4,3
0000000115,26524I,5,6
0000000116,2844C4,1,10
0000000116,2865B4,1,1
0000000117,270159,1,3
0000000118,267011,5,6
0000000119,26558J,4,9
0000000119,276EDL,1,4
0000000120,286213,2,2
0000000121,2112020401,4,5
0000000122,458247,3,4
0000000123,458546,3,4
0000000124,2115020401,3,4
0000000125,270153,1,10
