id,relleno,detalle,precio
2945000108,100% ALGODON,ACTIBIO,"S/.60,00"
2415070102,100% ALGODON,AIR,"S/.65,00"
276FDN,100% ALGODON,AIRCOOL,"S/.90,00"
276EDL,100% ALGODON,AIRFRESH FIRM,"S/.100,00"
286594,100% ALGODON,ANTIACARO,"S/.150,00"
2865F4,100% ALGODON,ANTIMOSQUITO,"S/.50,00"
276JDG,100% ALGODON,ANTISTRESS,"S/.200,00"
276FDH,100% ALGODON,BEAUTYREST,"S/.75,00"
286056,100% ALGODON,CONTOUR,"S/.65,00"
276GDS,100% ALGODON,DISNEY,"S/.140,00"
296002,100% ALGODON,HIPERTRANSPIRANTE,"S/.120,00"
2945000103,100% ALGODON,INTELLIFRESH,"S/.30,00"
2767JU,100% ALGODON,LATEX GEL,"S/.130,00"
296001,100% ALGODON,LUXURY,"S/.125,00"
2415000107,100% ALGODON,LUXURY,"S/.75,00"
2415000119,100% ALGODON,MEMORY FOAM,"S/.190,00"
2865B4,100% ALGODON,ORGANICO,"S/.35,00"
276FDE,100% ALGODON,PLATA,"S/.100,00"
2867AE,100% ALGODON,SATEN,"S/.170,00"
286586,100% ALGODON,SATEN ELITE,"S/.55,00"
2867QK,100% ALGODON,SATEN LATEX,"S/.110,00"
28668C,100% ALGODON,SATEN MICROFIBRA,"S/.115,00"
2415000121,100% ALGODON,STAR WARS,"S/.200,00"
286055,100% ALGODON,TERMOREGULABLE,"S/.65,00"
2865S4,100% POLIESTER,ANTIPEELING,"S/.50,00"
286544,100% POLIESTER,MEMORY FOAM,"S/.55,00"
286437,100% POLIESTER,VENTUS FIRM,"S/.120,00"
286300,100% POLIESTER,VENTUS SOFT,"S/.40,00"
286CVG,40% BAMBOO - 60% POLIESTER,LUMBAR,"S/.170,00"
2765TU,40% LATEX - 60% BLANCO,ACTIBIO,"S/.175,00"
276KTU,40% LATEX - 60% FIBRA,PLATA,"S/.45,00"
2862T3,50% BAMBOO - 50% ALGODON,CONTOUR,"S/.120,00"
2945000005,50% BAMBOO - 50% ALGODON,HIPERTRANSPIRANTE,"S/.115,00"
27654U,50% LATEX - 50% FIBRA,INTELLIFRESH,"S/.180,00"
2862Y3,60% BAMBOO - 40% VISCO,BEAUTYREST,"S/.55,00"
2860Z2,ACTIBIO,AIRCOOL,"S/.80,00"
2860I6,ALGODON - POL - HILO CARBONO,VENTUS FIRM,"S/.95,00"
2867II,ALGODON - POL - HILO CARBONO,VENTUS SOFT,"S/.125,00"
286213,BAMBOO,ANTISTRESS,"S/.50,00"
276DKV,ESPUMA VISCOLASTIC,AIR,"S/.35,00"
2863VN,EUROSOYA,TRADICIONAL BAMBOO,"S/.45,00"
286ECD,EUROSOYA,VENTUS SOFT,"S/.160,00"
276F8N,FIBRA,AIR,"S/.200,00"
2415000110,FIBRA,ANTISTRESS,"S/.40,00"
276FSH,FIBRA,HIPERTRANSPIRANTE,"S/.75,00"
276FSE,FIBRA,ULTRA SOFT,"S/.155,00"
4424050001,GEL,AIR,"S/.195,00"
418102,GEL,MEMORY FOAM SERTA,"S/.40,00"
8008,GEL,STANDARD,"S/.125,00"
286878,HILO,AIR,"S/.75,00"
286011,HILO,ANCHO,"S/.135,00"
276DCV,HILO,BEAUTYREST,"S/.90,00"
