id,detalle,precio
265221,ECOLOGICO NOTEX,"S/.1.230,00"
2125023101,ANTISTRESS,"S/.1.695,00"
26534F,GEMINIS JACKARD,"S/.1.690,00"
265581,ECOLOGICO NOTEX EST,"S/.2.630,00"
2126030201,OXYGEN,"S/.2.195,00"
265222,ECOLOGICO POLIALGODON,"S/.1.240,00"
265A29,SUPER FOAM JACKARD,"S/.1.685,00"
2125040101,SIMMONS BEAUTYSLEEP,"S/.1.680,00"
265226,DIAGONAL POLIALGODON,"S/.1.140,00"
2115020691,5 ESTRELLAS,"S/.1.680,00"
2915010004,PRINCE,"S/.1.680,00"
265223,DORMIDITA NOTEX,"S/.860,00"
2115031091,XEON,"S/.1.675,00"
213006,ACQUA VARIOS,"S/.1.670,00"
265225,DORMIDITA POLIALGODON ACOLCHADO,"S/.1.110,00"
284344,HOTELERO 5 ESTRELLAS,"S/.1.665,00"
2125040801,SIMMONS BEAUTYREST WORLD CLASS,"S/.1.660,00"
265224,DORMIDITA POLIALGODON,"S/.1.290,00"
267321,BARI,"S/.1.660,00"
267342,SEVILLA,"S/.1.660,00"
265228,SUPER FOAM DRILL,"S/.830,00"
2125022191,HOTEL CONCEPT,"S/.1.655,00"
2125041401,SIMMONS HYDE PARK PLUSH,"S/.1.655,00"
265528,SUPER FOAM DRILL,"S/.2.640,00"
26548J,COOL MAX SUMMER,"S/.2.190,00"
284341,HOTELERO 7 ESTRELLAS,"S/.1.655,00"
265229,SUPER FOAM JACKARD,"S/.1.060,00"
2115020501,4 ESTRELLAS,"S/.1.650,00"
267012,POOH,"S/.695,00"
265529,SUPER FOAM JACKARD,"S/.2.365,00"
2136011602,SUPER FOAM POLIALGODON,"S/.2.185,00"
265227,SUPER FOAM POLIALGODON,"S/.830,00"
2843A8,ACQUA CIRCULACION ADVANCE,"S/.1.650,00"
284346,HOTELERO 3 ESTRELLAS,"S/.1.650,00"
265527,SUPER FOAM POLIALGODON,"S/.2.540,00"
4916040010,SIMMONS FOUR POINTS EUROTOP SHERATON,"S/.2.180,00"
26524I,CONTIFLEX DRILL X,"S/.890,00"
284302,POCKET RAICES CARAL,"S/.1.650,00"
26524F,GEMINIS JACKARD,"S/.1.090,00"
2843S1,SIMMONS BEAUTYREST AUDRINA LUX FIRM,"S/.1.650,00"
284318,CONTINENTAL ACQUA REPOSE,"S/.1.645,00"
26554F,GEMINIS JACKARD,"S/.2.260,00"
2126020191,VENTUS,"S/.2.180,00"
267047,ANTARES,"S/.690,00"
26522B,SUPER FOAM DRILL,"S/.940,00"
284372,VISCOELASTIC POCKET PT,"S/.1.645,00"
265322,ECOLOGICO POLIALGODON,"S/.1.640,00"
4916040018,SIMMONS - TRUE ENERGY ADVANCE,"S/.2.180,00"
2137011601,SUPER FOAM DRILL X,"S/.2.535,00"
26522C,SUPER FOAM JACKARD,"S/.1.060,00"
2843A2,AERO AROMATERAPIA,"S/.1.640,00"
458395,TC MERCURY PT,"S/.1.640,00"
26552C,SUPER FOAM JACKARD,"S/.2.510,00"
2844A4,ACQUA CIRCULACION,"S/.2.170,00"
26522A,SUPER FOAM POLIALGODON,"S/.1.070,00"
2115030301,ENERGY,"S/.1.635,00"
458325,SIMMONS BEAUTY REST - WESTBURY RECHARGE,"S/.1.635,00"
26552A,SUPER FOAM POLIALGODON,"S/.2.685,00"
458496,OMEGA PT,"S/.2.165,00"
265321,ECOLOGICO NOTEX,"S/.1.630,00"
26527H,TOP FLEX JACKARD X,"S/.1.020,00"
2125024001,VISCO CARBON,"S/.1.630,00"
2843B8,HOTELERO DRIMER CONCEPT,"S/.1.630,00"
26537H,TOP FLEX JACKARD X,"S/.1.625,00"
2115023601,TERRA BAMBOO,"S/.1.625,00"
2134020101,ANTISTRESS,"S/.890,00"
2663A7,TERRA LATEX FRESH,"S/.1.620,00"
2137020101,ANTISTRESS,"S/.2.445,00"
4916040009,SIMMONS EVIE PLUSH LUX FIRM,"S/.2.160,00"
26528J,COOL MAX SUMMER,"S/.850,00"
2115020401,3 ESTRELLAS,"S/.1.620,00"
26558J,COOL MAX SUMMER,"S/.2.690,00"
2844160000,CONTINENTAL REAL REPOSE,"S/.2.160,00"
458350,POCKET ICOMFORT HYBRID OBSERVER,"S/.1.620,00"
26522E,ELASTIC FOAM DRILL,"S/.1.220,00"
267334,VISCOELASTIC POCKET,"S/.1.620,00"
2914020003,SOYA SOFT,"S/.1.615,00"
267042,SEVILLA,"S/.690,00"
26552E,ELASTIC FOAM DRILL,"S/.2.230,00"
458434,SIMMONS BEAUTYREST RECHARGE AUDRINA LUXURY FIRM,"S/.2.160,00"
26522D,ELASTIC FOAM POLIALGODON,"S/.1.010,00"
26552D,ELASTIC FOAM POLIALGODON,"S/.2.335,00"
2126011101,REPOSE,"S/.2.155,00"
2125040901,SIMMONS BEAUTYREST WORLD CLASS PT,"S/.1.615,00"
267377,FIRENZE ALOE VERA PT,"S/.1.615,00"
2652BE,HIPERSOFT DRILL,"S/.860,00"
2915020095,POCKET DREAM,"S/.1.615,00"
4916040011,SIMMONS HEAVENLY,"S/.2.155,00"
2111011591,SIR REPOSE,"S/.690,00"
26527G,OMEGA JACKARD,"S/.980,00"
2115050101,SERTAPEDIC WAITROSE,"S/.1.615,00"
284310,AYLLU URPI,"S/.1.610,00"
26554G,OMEGA JACKARD,"S/.2.565,00"
267496,OMEGA PT,"S/.2.155,00"
26526N,TERRA COTTON,"S/.980,00"
267308,BAVENO,"S/.1.610,00"
284313,INTERMEDIO OUTLET,"S/.1.610,00"
26556N,TERRA COTTON,"S/.2.625,00"
2916010007,SIPAN,"S/.2.150,00"
465261,DRILL ACC,"S/.1.060,00"
465262,DRILL S/ACC,"S/.1.000,00"
