id,detalle,modelo,precio
270263,ADRIANO,2 CUERPO,"S/.930,00"
270363,ADRIANO,3 CUERPO,"S/.1.030,00"
270190,ADRIANO I,1 CUERPO,"S/.700,00"
270290,ADRIANO I,2 CUERPO,"S/.1.140,00"
270390,ADRIANO I,3 CUERPO,"S/.1.340,00"
270340,AIRE,3 CUERPO,"S/.1.465,00"
270176,ALONSO,1 CUERPO,"S/.650,00"
270276,ALONSO,2 CUERPO,"S/.765,00"
270376,ALONSO,3 CUERPO,"S/.1.340,00"
2703AR,ALTA 001 PU,3 CUERPO,"S/.1.660,00"
2701AV,ALTA 002 CHENILLE,1 CUERPO,"S/.755,00"
2702AW,ALTA 003 PU,2 CUERPO,"S/.1.040,00"
2703AW,ALTA 003 PU,3 CUERPO,"S/.1.035,00"
2702B5,ALTA 004 PU,2 CUERPO,"S/.960,00"
2703B5,ALTA 004 PU,3 CUERPO,"S/.1.510,00"
2702AZ,ALTA 005 PU,2 CUERPO,"S/.835,00"
2703AZ,ALTA 005 PU,3 CUERPO,"S/.1.585,00"
270199,AMERICA,1 CUERPO,"S/.920,00"
270299,AMERICA,2 CUERPO,"S/.1.310,00"
270399,AMERICA,3 CUERPO,"S/.1.445,00"
270150,ANDRE,1 CUERPO,"S/.750,00"
270250,ANDRE,2 CUERPO,"S/.1.185,00"
270350,ANDRE,3 CUERPO,"S/.1.190,00"
270153,ANELKA,1 CUERPO,"S/.620,00"
270253,ANELKA,2 CUERPO,"S/.845,00"
270353,ANELKA,3 CUERPO,"S/.1.630,00"
2211010301,ANKARA,1 CUERPO,"S/.605,00"
2212010301,ANKARA,2 CUERPO,"S/.990,00"
2213010301,ANKARA,3 CUERPO,"S/.1.535,00"
2701AF,ANTONELLA,1 CUERPO,"S/.910,00"
2702AF,ANTONELLA,2 CUERPO,"S/.930,00"
2703AF,ANTONELLA,3 CUERPO,"S/.1.565,00"
2701AY,ANTONELLA PU,1 CUERPO,"S/.670,00"
2702AY,ANTONELLA PU,2 CUERPO,"S/.1.335,00"
2703AY,ANTONELLA PU,3 CUERPO,"S/.1.125,00"
2701BG,ARANXA,1 CUERPO,"S/.840,00"
2702BG,ARANXA,2 CUERPO,"S/.1.365,00"
2703BG,ARANXA,3 CUERPO,"S/.1.015,00"
2701AN,ARIANA,1 CUERPO,"S/.730,00"
2702AN,ARIANA,2 CUERPO,"S/.825,00"
2703AN,ARIANA,3 CUERPO,"S/.1.495,00"
270247,ARSENAL,2 CUERPO,"S/.1.315,00"
270347,ARSENAL,3 CUERPO,"S/.1.405,00"
2701AE,FIBRAE,1 CUERPO,"S/.930,00"
2702AE,FIBRAE,2 CUERPO,"S/.1.095,00"
2703AE,FIBRAE,3 CUERPO,"S/.1.205,00"
270161,ASTON,1 CUERPO,"S/.885,00"
270261,ASTON,2 CUERPO,"S/.1.005,00"
270361,ASTON,3 CUERPO,"S/.1.445,00"
270165,ASTON 2,1 CUERPO,"S/.760,00"
270365,ASTON 2,3 CUERPO,"S/.1.075,00"
270220,ATHENAS,2 CUERPO,"S/.1.005,00"
270320,ATHENAS,3 CUERPO,"S/.935,00"
270126,BALI,1 CUERPO,"S/.690,00"
270226,BALI,2 CUERPO,"S/.745,00"
270326,BALI,3 CUERPO,"S/.1.160,00"
270103,BARI,1 CUERPO,"S/.855,00"
270203,BARI,2 CUERPO,"S/.1.075,00"
270303,BARI,3 CUERPO,"S/.1.295,00"
270206,BAROLO,2 CUERPO,"S/.1.235,00"
270306,BAROLO,3 CUERPO,"S/.1.430,00"
270130,BELLA,1 CUERPO,"S/.935,00"
270230,BELLA,2 CUERPO,"S/.860,00"
270330,BELLA,3 CUERPO,"S/.1.465,00"
270138,BETTINA,1 CUERPO,"S/.995,00"
270238,BETTINA,2 CUERPO,"S/.1.395,00"
270338,BETTINA,3 CUERPO,"S/.995,00"
270110,BIANCA,1 CUERPO,"S/.840,00"
270210,BIANCA,2 CUERPO,"S/.1.030,00"
270310,BIANCA,3 CUERPO,"S/.1.490,00"
270108,BRAXTON,1 CUERPO,"S/.790,00"
