fecha,no_recibo
2010-01-01,0000000001
2010-01-01,0000000002
2010-01-01,0000000003
2010-01-01,0000000004
2010-01-01,0000000005
2010-01-01,0000000006
2010-01-01,0000000007
2010-01-01,0000000008
2010-01-02,0000000009
2010-01-02,0000000010
2010-01-02,0000000011
2010-01-02,0000000012
2010-01-02,0000000013
2010-01-02,0000000014
2010-01-02,0000000015
2010-01-02,0000000016
2010-01-02,0000000017
2010-01-03,0000000018
2010-01-03,0000000019
2010-01-03,0000000020
2010-01-03,0000000021
2010-01-03,0000000022
2010-01-03,0000000023
2010-01-03,0000000024
2010-01-03,0000000025
2010-01-03,0000000026
2010-01-03,0000000027
2010-01-03,0000000028
2010-01-03,0000000029
2010-01-03,0000000030
2010-01-03,0000000031
2010-01-03,0000000032
2010-01-04,0000000033
2010-01-04,0000000034
2010-01-04,0000000035
2010-01-04,0000000036
2010-01-04,0000000037
2010-01-04,0000000038
2010-01-04,0000000039
2010-01-04,0000000040
2010-01-04,0000000041
2010-01-05,0000000042
2010-01-05,0000000043
2010-01-05,0000000044
2010-01-05,0000000045
2010-01-05,0000000046
2010-01-05,0000000047
2010-01-05,0000000048
2010-01-05,0000000049
2010-01-05,0000000050
2010-01-05,0000000051
2010-01-05,0000000052
2010-01-06,0000000053
2010-01-06,0000000054
2010-01-06,0000000055
2010-01-06,0000000056
2010-01-06,0000000057
2010-01-06,0000000058
2010-01-06,0000000059
2010-01-06,0000000060
2010-01-06,0000000061
2010-01-06,0000000062
2010-01-06,0000000063
2010-01-06,0000000064
2010-01-06,0000000065
2010-01-06,0000000066
2010-01-06,0000000067
2010-01-06,0000000068
2010-01-06,0000000069
2010-01-07,0000000070
2010-01-07,0000000071
2010-01-07,0000000072
2010-01-07,0000000073
2010-01-07,0000000074
2010-01-07,0000000075
2010-01-07,0000000076
2010-01-07,0000000077
2010-01-07,0000000078
2010-01-07,0000000079
2010-01-07,0000000080
2010-01-07,0000000081
2010-01-07,0000000082
2010-01-07,0000000083
2010-01-08,0000000084
2010-01-08,0000000085
2010-01-08,0000000086
2010-01-08,0000000087
2010-01-08,0000000088
2010-01-08,0000000089
2010-01-08,0000000090
2010-01-08,0000000091
2010-01-08,0000000092
2010-01-08,0000000093
2010-01-09,0000000094
2010-01-09,0000000095
2010-01-09,0000000096
2010-01-09,0000000097
2010-01-09,0000000098
2010-01-09,0000000099
2010-01-09,0000000100
2010-01-09,0000000101
2010-01-09,0000000102
2010-01-09,0000000103
2010-01-09,0000000104
2010-01-09,0000000105
2010-01-09,0000000106
2010-01-09,0000000107
2010-01-09,0000000108
2010-01-10,0000000109
2010-01-10,0000000110
2010-01-10,0000000111
2010-01-10,0000000112
2010-01-10,0000000113
2010-01-10,0000000114
2010-01-10,0000000115
2010-01-10,0000000116
2010-01-10,0000000117
2010-01-10,0000000118
2010-01-10,0000000119
2010-01-11,0000000120
2010-01-11,0000000121
2010-01-11,0000000122
2010-01-11,0000000123
2010-01-11,0000000124
2010-01-11,0000000125
2010-01-11,0000000126
2010-01-11,0000000127
2010-01-11,0000000128
2010-01-11,0000000129
2010-01-11,0000000130
2010-01-11,0000000131
2010-01-11,0000000132
2010-01-12,0000000133
2010-01-12,0000000134
2010-01-12,0000000135
2010-01-12,0000000136
2010-01-12,0000000137
2010-01-12,0000000138
2010-01-12,0000000139
2010-01-12,0000000140
2010-01-13,0000000141
2010-01-13,0000000142
2010-01-13,0000000143
2010-01-13,0000000144
2010-01-13,0000000145
2010-01-13,0000000146
2010-01-13,0000000147
2010-01-13,0000000148
2010-01-13,0000000149
2010-01-14,0000000150
2010-01-14,0000000151
2010-01-14,0000000152
2010-01-14,0000000153
2010-01-14,0000000154
2010-01-14,0000000155
2010-01-14,0000000156
2010-01-14,0000000157
2010-01-14,0000000158
2010-01-14,0000000159
2010-01-15,0000000160
2010-01-15,0000000161
2010-01-15,0000000162
2010-01-15,0000000163
2010-01-15,0000000164
2010-01-15,0000000165
2010-01-15,0000000166
2010-01-15,0000000167
2010-01-15,0000000168
2010-01-15,0000000169
2010-01-15,0000000170
2010-01-15,0000000171
2010-01-15,0000000172
2010-01-15,0000000173
2010-01-16,0000000174
2010-01-16,0000000175
2010-01-16,0000000176
2010-01-16,0000000177
2010-01-16,0000000178
2010-01-16,0000000179
2010-01-16,0000000180
2010-01-17,0000000181
2010-01-17,0000000182
2010-01-17,0000000183
2010-01-17,0000000184
2010-01-17,0000000185
2010-01-18,0000000186
2010-01-18,0000000187
2010-01-18,0000000188
2010-01-18,0000000189
2010-01-18,0000000190
2010-01-19,0000000191
2010-01-19,0000000192
2010-01-19,0000000193
2010-01-19,0000000194
2010-01-19,0000000195
2010-01-19,0000000196
2010-01-19,0000000197
2010-01-19,0000000198
2010-01-20,0000000199
2010-01-20,0000000200
2010-01-20,0000000201
2010-01-20,0000000202
2010-01-20,0000000203
2010-01-20,0000000204
2010-01-21,0000000205
2010-01-21,0000000206
2010-01-21,0000000207
2010-01-21,0000000208
2010-01-21,0000000209
2010-01-21,0000000210
2010-01-21,0000000211
2010-01-21,0000000212
2010-01-21,0000000213
2010-01-21,0000000214
2010-01-21,0000000215
2010-01-21,0000000216
2010-01-21,0000000217
2010-01-22,0000000218
2010-01-22,0000000219
2010-01-22,0000000220
2010-01-22,0000000221
2010-01-22,0000000222
2010-01-22,0000000223
2010-01-22,0000000224
